cost => 2.56 | heu => 14.320070357142857 | fringe_size => 29 | closed => 2 | action => ["L'", 'D2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.933041428571428 | fringe_size => 30 | closed => 2 | action => ["L'", 'E'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 31 | closed => 2 | action => ["L'", "E'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 32 | closed => 2 | action => ["L'", 'E2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 33 | closed => 2 | action => ["L'", 'U'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 34 | closed => 2 | action => ["L'", "U'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 35 | closed => 2 | action => ["L'", 'U2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.707099285714285 | fringe_size => 36 | closed => 2 | action => ["L'", 'L'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 37 | closed => 2 | action => ["L'", "L'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 38 | closed => 2 | action => ["L'", 'L2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 39 | closed => 2 | action => ["L'", 'R'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.707099285714285 | fringe_size => 40 | closed => 2 | action => ["L'", "R'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 41 | closed => 2 | action => ["L'", 'R2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.83681 | fringe_size => 42 | closed => 2 | action => ["L'", 'M'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 43 | closed => 2 | action => ["L'", "M'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 44 | closed => 2 | action => ["L'", 'M2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 45 | closed => 2 | action => ["L'", 'B'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 46 | closed => 2 | action => ["L'", "B'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 8.514636428571428 | fringe_size => 47 | closed => 2 | action => ["L'", 'B2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 48 | closed => 2 | action => ["L'", 'F'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 8.514636428571428 | fringe_size => 49 | closed => 2 | action => ["L'", "F'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 50 | closed => 2 | action => ["L'", 'F2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 16.255215 | fringe_size => 51 | closed => 2 | action => ["L'", 'S'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 16.255215 | fringe_size => 52 | closed => 2 | action => ["L'", "S'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 16.255215 | fringe_size => 53 | closed => 2 | action => ["L'", 'S2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 53 | closed => 3 | action => ["L'", 'B2', 'D'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 54 | closed => 3 | action => ["L'", 'B2', "D'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 55 | closed => 3 | action => ["L'", 'B2', 'D2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 56 | closed => 3 | action => ["L'", 'B2', 'E'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.475324980714284 | fringe_size => 57 | closed => 3 | action => ["L'", 'B2', "E'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 58 | closed => 3 | action => ["L'", 'B2', 'E2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 59 | closed => 3 | action => ["L'", 'B2', 'U'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 60 | closed => 3 | action => ["L'", 'B2', "U'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 61 | closed => 3 | action => ["L'", 'B2', 'U2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.086913439285713 | fringe_size => 62 | closed => 3 | action => ["L'", 'B2', 'L'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 63 | closed => 3 | action => ["L'", 'B2', "L'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 64 | closed => 3 | action => ["L'", 'B2', 'L2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 65 | closed => 3 | action => ["L'", 'B2', 'R'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.086913439285713 | fringe_size => 66 | closed => 3 | action => ["L'", 'B2', "R'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.489810553928569 | fringe_size => 67 | closed => 3 | action => ["L'", 'B2', 'R2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
